Item_ID	DEPT_	CLASS_
01-21-1006-15-12	NEW	NEW
01-21-1008-14-12	NEW	NEW
01-21-3006-14-12	NEW	NEW
01-24-0202-00-12	NEW	NEW
01-24-0203-00-12	NEW	NEW
01-24-0303-01	NEW	NEW
01-25-0004	NEW	NEW
01-25-0006	NEW	NEW
01-25-0008	NEW	NEW
01-28-1301-03-12	NEW	NEW
01-29-1301-01-00	NEW	NEW
01-31-0103-01-00	NEW	NEW
01-31-0104-01-00	NEW	NEW
01-31-0105-01-00	NEW	NEW
01-31-0106-01-00	NEW	NEW
01-31-0107-01-12	NEW	NEW
01-31-0108-01-00	NEW	NEW
01-31-0109-01-00	NEW	NEW
01-40-0401-00-00	NEW	NEW
01-83-1601-00-00	NEW	NEW
01-83-1602-00-00	NEW	NEW
01-83-1603-00-00	NEW	NEW
01-86-0001-00-00	NEW	NEW
02-31-0103-01-00	NEW	NEW
02-31-0401-00-00	NEW	NEW
02-32-0401-00-00	NEW	NEW
02-32-1101-01-00	NEW	NEW
02-40-0401-00-00	NEW	NEW
02-61-1301-01-00	NEW	NEW
02-62-0401-01-12	NEW	NEW
02-63-0001-00-00	NEW	NEW
02-63-0406-01-12	NEW	NEW
02-63-1301-01-00	NEW	NEW
02-71-1403-01-12	NEW	NEW
02-73-0001-01-00	NEW	NEW
02-73-0002-01-00	NEW	NEW
02-73-1101	NEW	NEW
02-73-1102	NEW	NEW
02-73-1301	NEW	NEW
02-74-0401-01-00	NEW	NEW
02-74-0402-01-00	NEW	NEW
02-74-0405-01	NEW	NEW
02-74-0405-01-12	NEW	NEW
02-74-1402-01-00	NEW	NEW
03-22-0001-01-12	NEW	NEW
03-22-0002-01-12	NEW	NEW
03-22-0003-01-00	NEW	NEW
03-22-0005-01-00	NEW	NEW
03-22-0110-01-00	NEW	NEW
03-32-0001-01-01	NEW	NEW
03-32-0402-00-00	NEW	NEW
03-33-1302-00	NEW	NEW
03-72-1101	NEW	NEW
03-74-0003-01-00	NEW	NEW
03-74-0004-01-00	NEW	NEW
03-81-0003-00	NEW	NEW
03-81-0004-00	NEW	NEW
03-81-0101-00-00	NEW	NEW
03-81-1701-00	NEW	NEW
03-85-0301-01-00	NEW	NEW
04-12-0002-01	NEW	NEW
04-12-0006-01	NEW	NEW
04-12-0009-01	NEW	NEW
04-13-1101-03-00	NEW	NEW
04-31-0001-00	NEW	NEW
04-31-0004-01	NEW	NEW
04-82-0001-00-00	NEW	NEW
04-82-0002-00-12	NEW	NEW
06-81-1701-00-00	NEW	NEW
06-81-1703-00-00	NEW	NEW
07-81-0101-00	NEW	NEW
07-81-1601-00	NEW	NEW
08-28-0201-00-00	NEW	NEW
08-31-0201-00-00	NEW	NEW
08-31-0202-00-00	NEW	NEW
08-31-0203-00-00	NEW	NEW
08-34-0203-00-00	NEW	NEW
08-34-0205-00-00	NEW	NEW
08-34-0206-01-00	NEW	NEW
08-34-0209-00-00	NEW	NEW
08-34-0210-00-00	NEW	NEW
08-34-0211-00-00	NEW	NEW
11-11-0031-00	NEW	NEW
11-11-0031-02	NEW	NEW
11-11-0031-03	NEW	NEW
11-11-0032-00	NEW	NEW
11-11-0033-00	NEW	NEW
11-11-0033-03	NEW	NEW
11-11-0035-02	NEW	NEW
11-11-0037-00	NEW	NEW
11-11-0037-02	NEW	NEW
11-11-0037-03	NEW	NEW
20-87-0001-00	NEW	NEW
21-13-0001	NEW	NEW
22-82-1301-00-00	NEW	NEW
23-82-0101-01-00	NEW	NEW
34-84-0901-01	NEW	NEW
38-12-0001-01	NEW	NEW
38-31-0001-00-12	NEW	NEW
38-51-0101-01-00	NEW	NEW
40-33-0001-00-00	NEW	NEW
43-85-0002-01	NEW	NEW
01-21-1002-14-12	NEW	NEW
01-21-1004-14-12	NEW	NEW
01-21-1009-14-12	NEW	NEW
01-21-1010-14-00	NEW	NEW
01-21-2001-14-12	NEW	NEW
01-24-0101-01	NEW	NEW
01-29-1303	NEW	NEW
01-31-0101-01-00	NEW	NEW
01-81-1601-00-00	NEW	NEW
02-32-0101-01-00	NEW	NEW
02-40-0301-01-12	NEW	NEW
02-62-1401-01-00	NEW	NEW
02-63-0403-01-00	NEW	NEW
02-71-1401-01-00	NEW	NEW
02-81-0001-00-00	NEW	NEW
03-17-0101	NEW	NEW
03-22-0101-01-00	NEW	NEW
03-31-0102-01-00	NEW	NEW
03-35-0101-01-00	NEW	NEW
03-40-0101-01-12	NEW	NEW
03-40-0102-01-12	NEW	NEW
03-52-1301-01-00	NEW	NEW
03-74-0002-01-00	NEW	NEW
03-81-0001-00-03	NEW	NEW
03-81-0002-00-00	NEW	NEW
04-12-0010-01	NEW	NEW
04-12-0011-01	NEW	NEW
04-15-0105-01-00	NEW	NEW
04-74-0001	NEW	NEW
10-81-0001-00-00	NEW	NEW
11-11-0032-02	NEW	NEW
11-11-0032-03	NEW	NEW
11-11-0033-02	NEW	NEW
