Date	Item_ID	Dept	Class	Unit_Sold	$_Sold	Total_Cost
1-Sep-19	01-21-1002-14-12	COSMETICS	MASKS	1	55	12.64999962
1-Sep-19	01-21-1004-14-12	COSMETICS	MASKS	1	59	20.29999924
1-Sep-19	01-21-1011-14-12	COSMETICS	MASKS	1	50	17.64999962
1-Sep-19	01-21-2003-15-12	COSMETICS	MASKS	2	170	49.36000061
1-Sep-19	01-24-0304-01-00	DISC	DISC	1	6.989999771	4.46999979
1-Sep-19	01-28-1301-03-12	FITNESS	MAT	5	69	35.85000038
1-Sep-19	01-29-0002-00-00	FITNESS	ACCESSORIES	4	8	1
1-Sep-19	01-29-1301-01-00	FITNESS	ACCESSORIES	2	64	11
1-Sep-19	01-29-1304-01-00	FITNESS	ACCESSORIES	1	8	2.099999905
1-Sep-19	01-31-0101-01-00	AUTOMOTIVE	RINGS	3	60	23.82000017
1-Sep-19	01-31-0103-01-00	ACCESSORIES	RINGS	3	60	13.5
1-Sep-19	01-31-0104-01-00	AUTOMOTIVE	RINGS	2	35.98999977	12.39999962
1-Sep-19	01-31-0106-01-00	AUTOMOTIVE	RINGS	2	50	13.60000038
1-Sep-19	01-31-0107-01-12	GEAR	OUTERWEAR	1	69	20.05999947
1-Sep-19	01-31-0108-01-00	AUTOMOTIVE	RINGS	1	22	5.25
1-Sep-19	01-32-0101-01	GEAR	OUTERWEAR	1	18	3.799999952
1-Sep-19	01-81-1601-00-00	ESSENTIALS	BODY CARE	8	63.97999954	25.60000038
1-Sep-19	01-83-1601-00-00	ESSENTIALS	ORAL CARE	1	9	4.300000191
1-Sep-19	01-83-1602-00-00	ESSENTIALS	ORAL CARE	4	35.98999977	15.92000008
1-Sep-19	01-83-1603-00-00	ESSENTIALS	ORAL CARE	1	14	2.75
1-Sep-19	02-31-0101-01-00	AUTOMOTIVE	RINGS	11	81.93999863	19.25
1-Sep-19	02-31-0103-01-00	ACCESSORIES	RINGS	5	49.94999886	14.75000024
1-Sep-19	02-32-0101-01-00	GEAR	OUTERWEAR	1	10	2.049999952
1-Sep-19	02-40-0001	SLEEPWEAR	INTIMATES	2	38	9
1-Sep-19	02-40-0301-01-12	SLEEPWEAR	INTIMATES	1	12	2.99000001
1-Sep-19	02-40-0401-00-00	SLEEPWEAR	INTIMATES	2	23.98999977	5.900000095
1-Sep-19	02-40-0402-00-00	DISC	DISC	1	18	3.75
1-Sep-19	02-62-0401-01-12	FITNESS	CYCLING	2	218	75.68000031
1-Sep-19	02-71-1401-01-00	ACCESSORIES	IMPULSE	5	325	60
1-Sep-19	02-71-1403-01-12	ACCESSORIES	IMPULSE	1	109	33.15000153
1-Sep-19	02-73-0002-01-00	ACCESSORIES	BELTS	1	36	11
1-Sep-19	02-73-1402-01-12	ACCESSORIES	BELTS	3	180	50.39999771
1-Sep-19	02-74-0401-01-00	ACCESSORIES	IMPULSE	1	8	1.5
1-Sep-19	02-74-0402-01-00	ACCESSORIES	IMPULSE	1	19	7
1-Sep-19	02-74-0405-01-12	ACCESSORIES	IMPULSE	1	29	11.35000038
1-Sep-19	02-74-1402-01-00	ACCESSORIES	IMPULSE	3	99.98999977	36
1-Sep-19	03-22-0002-01-12	FITNESS	LOWER BODY	3	186	91.91999817
1-Sep-19	03-22-0003-01-00	FITNESS	APPAREL	4	396	128
1-Sep-19	03-22-0004	DISC	DISC	5	237.9799995	110
1-Sep-19	03-22-0101-01-00	FITNESS	APPAREL	2	99	60
1-Sep-19	03-22-0110-11-00	DISC	DISC	1	85.98999786	48
1-Sep-19	03-25-0001-01-00	COSMETICS	MASKS	1	45	18
1-Sep-19	03-31-0102-01-00	ACCESSORIES	RINGS	2	29.98999977	8
1-Sep-19	03-72-0501-01-00	ACCESSORIES	IMPULSE	1	12.98999977	3.200000048
1-Sep-19	03-74-0002-01-00	ELECTRO	AUDIO	3	75	14.25
1-Sep-19	03-74-0003-01-00	ACCESSORIES	IMPULSE	1	99	24
1-Sep-19	03-74-0004-01-00	ACCESSORIES	IMPULSE	1	49	18
