Date	Item_ID	Unit_Sold	$_Sold	Total_Cost
9/21/2019	01-21-1006-15-12	1	61.34000015	21.22999954
9/21/2019	01-21-1008-14-12	3	173	69.06000137
9/21/2019	01-21-3006-14-12	1	78	26.93000031
9/21/2019	01-24-0202-00-12	1	29	11.01000023
9/21/2019	01-24-0203-00-12	1	45	16.20999908
9/21/2019	01-24-0303-01	1	17	3
9/21/2019	01-25-0004	1	42	12.85000038
9/21/2019	01-25-0006	1	42	13.30000019
9/21/2019	01-25-0008	1	32	11.81000042
9/21/2019	01-28-1301-03-12	5	80	35.85000038
9/21/2019	01-29-1301-01-00	2	68.38999939	11
9/21/2019	01-31-0103-01-00	4	66.85000038	18
9/21/2019	01-31-0104-01-00	1	25	6.199999809
9/21/2019	01-31-0105-01-00	2	30	13.19999981
9/21/2019	01-31-0106-01-00	2	50	13.60000038
9/21/2019	01-31-0107-01-12	1	69	20.05999947
9/21/2019	01-31-0108-01-00	1	22	5.25
9/21/2019	01-31-0109-01-00	2	44	12.69999981
9/21/2019	01-40-0401-00-00	1	18	5.400000095
9/21/2019	01-83-1601-00-00	1	9	4.300000191
9/21/2019	01-83-1602-00-00	4	35.97999954	15.92000008
9/21/2019	01-83-1603-00-00	2	28	5.5
9/21/2019	01-86-0001-00-00	21	1575	924
9/21/2019	02-31-0103-01-00	2	30	5.900000095
9/21/2019	02-31-0401-00-00	2	76.54999924	15.89999962
9/21/2019	02-32-0401-00-00	1	65	16.20000076
9/21/2019	02-32-1101-01-00	1	10	6.5
9/21/2019	02-40-0401-00-00	2	30	5.900000095
9/21/2019	02-61-1301-01-00	1	399	119
9/21/2019	02-62-0401-01-12	1	109	37.84000015
9/21/2019	02-63-0001-00-00	2	198	64.80000305
9/21/2019	02-63-0406-01-12	1	649	241.75
9/21/2019	02-63-1301-01-00	1	28	6.400000095
9/21/2019	02-71-1403-01-12	3	327	99.45000458
9/21/2019	02-73-0001-01-00	1	39	10.85000038
9/21/2019	02-73-0002-01-00	2	72	22
9/21/2019	02-73-1101	2	70	11.30000019
9/21/2019	02-73-1102	1	29	5.150000095
9/21/2019	02-73-1301	1	16	3.700000048
9/21/2019	02-74-0401-01-00	1	8	1.5
9/21/2019	02-74-0402-01-00	1	19	7
9/21/2019	02-74-0405-01	1	19	4.349999905
9/21/2019	02-74-0405-01-12	1	29	11.35000038
9/21/2019	02-74-1402-01-00	2	70	24
9/21/2019	03-22-0001-01-12	1	69	30.63999939
9/21/2019	03-22-0002-01-12	1	62	30.63999939
9/21/2019	03-22-0003-01-00	2	198	64
9/21/2019	03-22-0005-01-00	3	237	90
9/21/2019	03-22-0110-01-00	2	250	96
9/21/2019	03-32-0001-01-01	1	29	8.289999962
9/21/2019	03-32-0402-00-00	4	242.4899979	52.95999908
9/21/2019	03-33-1302-00	1	49	11.35999966
9/21/2019	03-33-1302-00	1	49	14.82999992
9/21/2019	03-72-1101	2	58	14.39999962
9/21/2019	03-74-0003-01-00	1	99	24
9/21/2019	03-74-0004-01-00	1	49	18
9/21/2019	03-81-0003-00	2	30	10.73999977
9/21/2019	03-81-0003-00	1	25	10.73999977
