Date	Item_ID	Dept	Class	Unit_Sold	$_Sold	Total_Cost
9/13/2019	01-21-1004-14-12	COSMETICS	MASKS	1	59	20.29999924
9/13/2019	01-21-1005-14-12	COSMETICS	MASKS	2	123.8600006	45.29999924
9/13/2019	01-21-1006-15-12	COSMETICS	MASKS	2	110	42.45999908
9/13/2019	01-21-1008-14-12	COSMETICS	MASKS	3	177	69.06000137
9/13/2019	01-21-1013-14-12	COSMETICS	MASKS	1	79	19.94000053
9/13/2019	01-21-2001-14-12	COSMETICS	MASKS	1	89	32.52000046
9/13/2019	01-21-2005-14-12	COSMETICS	MASKS	1	109	35.40999985
9/13/2019	01-21-2009-14-12	COSMETICS	MASKS	1	85	29.96999931
9/13/2019	01-21-3005-14-12	COSMETICS	MASKS	1	65.90000153	14.25
9/13/2019	01-21-3006-14-12	COSMETICS	MASKS	1	78	26.93000031
9/13/2019	01-21-4001-14-12	COSMETICS	MASKS	1	61.72000122	16.39999962
9/13/2019	01-21-4002-14-12	COSMETICS	MASKS	1	57	19.93000031
9/13/2019	01-24-0203-00-12	FITNESS	LOWER BODY	1	45	16.20999908
9/13/2019	01-25-0007-01-12	FITNESS	ELECTRO DEV	1	58	19
9/13/2019	01-28-1301-03-12	FITNESS	MAT	3	49.77000046	21.51000023
9/13/2019	01-29-1301-01-00	FITNESS	ACCESSORIES	1	32	5.5
9/13/2019	01-29-1304-01-00	FITNESS	ACCESSORIES	1	8	2.099999905
9/13/2019	01-31-0101-01-00	AUTOMOTIVE	RINGS	3	60	23.82000017
9/13/2019	01-31-0103-01-00	ACCESSORIES	RINGS	4	80	18
9/13/2019	01-31-0104-01-00	AUTOMOTIVE	RINGS	2	50	12.39999962
9/13/2019	01-31-0105-01-00	AUTOMOTIVE	RINGS	1	15	6.599999905
9/13/2019	01-31-0106-01-00	AUTOMOTIVE	RINGS	3	75	20.40000057
9/13/2019	01-31-0107-01-12	GEAR	OUTERWEAR	1	69	20.05999947
9/13/2019	01-31-0108-01-00	AUTOMOTIVE	RINGS	2	44	10.5
9/13/2019	01-31-0109-01-00	AUTOMOTIVE	RINGS	1	22	6.349999905
9/13/2019	01-83-1601-00-00	ESSENTIALS	ORAL CARE	4	36	17.20000076
9/13/2019	01-83-1603-00-00	ESSENTIALS	ORAL CARE	4	56	11
9/13/2019	02-31-0101-01-00	AUTOMOTIVE	RINGS	3	25.43000031	5.25
9/13/2019	02-31-0103-01-00	ACCESSORIES	RINGS	3	45	8.850000143
9/13/2019	02-31-0401-00-00	GEAR	OUTERWEAR	1	36	7.949999809
9/13/2019	02-32-0401-00-00	GEAR	OUTERWEAR	2	130	32.40000153
9/13/2019	02-32-1101-01-00	GEAR	OUTERWEAR	2	20	13
9/13/2019	02-40-0001-00-00	SLEEPWEAR	INTIMATES	2	38	9
9/13/2019	02-40-0401-00-00	SLEEPWEAR	INTIMATES	3	45	8.850000143
9/13/2019	02-40-1301-00-00	SLEEPWEAR	INTIMATES	2	30	7.5
9/13/2019	02-63-0402-01-12	FITNESS	CYCLING	1	85	24
9/13/2019	02-63-1301-01-00	FITNESS	CYCLING	1	28	6.400000095
9/13/2019	02-71-1401-01-00	ACCESSORIES	IMPULSE	3	195	36
9/13/2019	02-71-1403-01-12	ACCESSORIES	IMPULSE	3	327	99.45000458
9/13/2019	02-72-0101-01-00	ACCESSORIES	IMPULSE	1	22	5.599999905
9/13/2019	02-73-1302-01-00	ACCESSORIES	BELTS	1	4	1.399999976
9/13/2019	02-73-1402-01-12	ACCESSORIES	BELTS	1	60	16.79999924
9/13/2019	02-74-0405-01	ACCESSORIES	IMPULSE	1	19	4.349999905
9/13/2019	02-74-1402-01-00	ACCESSORIES	IMPULSE	1	35	12
9/13/2019	02-81-0001-00-00	ESSENTIALS	BODY CARE	1	18	5.5
9/13/2019	03-22-0002-01-12	FITNESS	LOWER BODY	2	124	61.27999878
9/13/2019	03-22-0003-01-00	FITNESS	APPAREL	1	99	32
9/13/2019	03-22-0101-01-00	FITNESS	APPAREL	2	198	60
9/13/2019	03-22-0107-01-12	FITNESS	APPAREL	1	50	13.85000038
9/13/2019	03-22-0110-01-00	FITNESS	APPAREL	4	250	192
9/13/2019	03-25-0003-01-00	COSMETICS	MASKS	2	90	36
