Order#	Order_date	Item_No	Dept_	Class_	Units_sold	Shipping_date	TRK#
49194	8/19/2019	03-81-1701-00	SEASONAL	SEASONAL	4	9/5/2019	1Z1A1V716771772187
49194	8/19/2019	02-63-0403-01-00	FITNESS	CYCLING	1	9/5/2019	1Z1A1V716771772187
49194	8/19/2019	17-24-0105-11-00	FITNESS	LOWER BODY	1	9/5/2019	1Z1A1V716771772187
49194	8/19/2019	14-63-1401-01-00	FITNESS	CYCLING	1	9/5/2019	1Z1A1V716771772187
49194	8/19/2019	01-31-0108-01-00	AUTOMOTIVE	RINGS	2	9/5/2019	1Z1A1V716771772187
49194	8/19/2019	01-21-2006-14-12	COSMETICS	MASKS	1	9/5/2019	1Z1A1V716771772187
53626	8/30/2019	23-33-0201-00-00	GEAR	OUTERWEAR	1	9/3/2019	1Z1A1V710394173231
53626	8/30/2019	22-82-1301-00-12	ESSENTIALS	BATH	1	9/3/2019	1Z1A1V710394173231
53626	8/30/2019	01-31-0104-01-00	AUTOMOTIVE	RINGS	1	9/3/2019	1Z1A1V710394173231
53626	8/30/2019	01-83-1601-00-00	ESSENTIALS	ORAL CARE	1	9/3/2019	1Z1A1V710394173231
53626	8/30/2019	01-81-1601-00-00	ESSENTIALS	BODY CARE	1	9/3/2019	1Z1A1V710394173231
53626	8/30/2019	01-40-0401-00-00	SLEEPWEAR	INTIMATES	1	9/3/2019	1Z1A1V710394173231
53628	8/30/2019	03-64-0401-01-00	FITNESS	CYCLING	1	9/1/2019	1Z1A1V710397695403
53628	8/30/2019	38-81-0001-00-00	SEASONAL	SEASONAL	1	9/1/2019	1Z1A1V710397695403
53629	8/30/2019	38-81-0001-00-00	SEASONAL	SEASONAL	1	9/1/2019	1Z1A1V710391697118
53629	8/30/2019	03-64-0401-01-00	FITNESS	CYCLING	1	9/1/2019	1Z1A1V710391697118
53630	8/30/2019	03-64-0401-01-00	FITNESS	CYCLING	1	9/1/2019	1Z1A1V710398926170
53631	8/30/2019	03-32-0402-00-00	GEAR	OUTERWEAR	1	9/1/2019	9.2749E+25
53632	8/30/2019	01-21-1012-14-12	COSMETICS	MASKS	1	9/1/2019	1Z1A1V710394369164
53632	8/30/2019	01-21-2012-14-12	COSMETICS	MASKS	1	9/1/2019	1Z1A1V710394369164
53632	8/30/2019	01-21-1013-14-12	COSMETICS	MASKS	1	9/1/2019	1Z1A1V710394369164
53633	8/30/2019	02-40-0401-00-00	SLEEPWEAR	INTIMATES	1	9/1/2019	9.2749E+25
53634	8/30/2019	02-63-0403-01-00	FITNESS	CYCLING	1	9/1/2019	1Z1A1V710397996249
53635	8/30/2019	01-25-0009-01-12	FITNESS	ELECTRO DEV	1	9/1/2019	1Z1A1V71YW90532101
53636	8/30/2019	08-31-0202-00-00	ACCESSORIES	RINGS	1	9/1/2019	1Z1A1V71YW94793019
53636	8/30/2019	02-71-1403-01-12	ACCESSORIES	IMPULSE	1	9/1/2019	1Z1A1V71YW94793019
53636	8/30/2019	02-73-0002-01-00	ACCESSORIES	BELTS	1	9/1/2019	1Z1A1V71YW94793019
53636	8/30/2019	03-52-1301-01-00	ELECTRO	COMPLETE KIT	1	9/1/2019	1Z1A1V71YW94793019
53638	8/30/2019	03-32-0402-00-00	GEAR	OUTERWEAR	1	9/3/2019	1Z1A1V71YW90122027
53638	8/30/2019	03-24-0105-05	SEASONAL	SEASONAL	1	9/3/2019	1Z1A1V71YW90122027
53637	8/30/2019	01-32-0101-01	GEAR	OUTERWEAR	1	9/1/2019	9.2749E+25
53637	8/30/2019	08-31-0203-00-00	ACCESSORIES	RINGS	1	9/1/2019	9.2749E+25
53637	8/30/2019	03-40-0101-01-12	SLEEPWEAR	INTIMATES	1	9/1/2019	9.2749E+25
53639	8/30/2019	01-25-0004	SEASONAL	SEASONAL	1	9/1/2019	1Z1A1V71YW99945202
53640	8/30/2019	01-31-0101-01-00	AUTOMOTIVE	RINGS	1	9/1/2019	9.2749E+25
53640	8/30/2019	02-31-0101-01-00	AUTOMOTIVE	RINGS	1	9/1/2019	9.2749E+25
53641	8/30/2019	17-24-0111-11-00	FITNESS	LOWER BODY	1	9/1/2019	1Z1A1V710396350303
53641	8/30/2019	08-34-0205-00-00	GEAR	OUTERWEAR	1	9/1/2019	1Z1A1V710396350303
53641	8/30/2019	07-81-1601-00	SEASONAL	SEASONAL	1	9/1/2019	1Z1A1V710396350303
53641	8/30/2019	01-21-1004-14-12	COSMETICS	MASKS	1	9/1/2019	1Z1A1V710396350303
53641	8/30/2019	23-82-0101-01-00	ESSENTIALS	BATH	1	9/1/2019	1Z1A1V710396350303
53642	8/30/2019	02-62-0401-01-12	FITNESS	CYCLING	1	9/1/2019	1Z1A1V710391129071
53642	8/30/2019	11-11-0014-13	SEASONAL	SEASONAL	2	9/1/2019	1Z1A1V710391129071
53643	8/30/2019	02-71-1403-01-12	ACCESSORIES	IMPULSE	1	9/1/2019	1Z1A1V71YW94450595
53644	8/30/2019	02-71-1403-01-12	ACCESSORIES	IMPULSE	1	9/1/2019	1Z1A1V71YW96165033
53644	8/30/2019	08-28-0201-00-00	FITNESS	MAT	1	9/1/2019	1Z1A1V71YW96165033
53645	8/30/2019	01-40-0401-00-00	SLEEPWEAR	INTIMATES	1	9/1/2019	9.2749E+25
53646	8/30/2019	01-86-0001-00-00	SEASONAL	SEASONAL	1	9/1/2019	1Z1A1V71YW92610648
