4P_Order	Order_date	Shipping_date	Shipping_revenues	Shipping_cost	Carrier/Class	TRK	weight	zip	order_total	Ins
43972	8/1/2019	8/1/2019	11.71	8.13	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW97104892	1.63	33305	123.31	124
43881	7/31/2019	8/1/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.25	12203	75.9	72
43877	7/31/2019	8/1/2019	16.7	11.6	UPS/UPS Ground	1Z1A1V710395969602	0.75	22042	135.7	119
43878	7/31/2019	8/1/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.06	20009	23.9	20
43879	7/31/2019	8/1/2019	11.71	8.13	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW99321386	1.94	33309	245.71	234
43880	7/31/2019	8/1/2019	11.94	8.29	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW93749113	1.13	75235	64.14	58
43882	7/31/2019	8/1/2019	11.71	8.13	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW95522327	1.88	20011	76.71	65
43883	7/31/2019	8/1/2019	10.31	7.16	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW94621070	3	28806	85.31	75
43884	7/31/2019	8/1/2019	56.3	66.23	UPS/UPS Ground	1Z1A1V710395929226	60.13	73064	694.4	354.5
43885	7/31/2019	8/1/2019	11.94	8.29	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW93582641	1.5	73122	34.44	25
43886	7/31/2019	8/1/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.5	65807	28.9	25
43887	7/31/2019	8/1/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.75	11355	122.9	119
43888	7/31/2019	8/1/2019	22.71	15.77	UPS/UPS 2nd Day Air	1Z1A1V710295271590	1.13	54901	68.71	46
43889	7/31/2019	8/1/2019	15.67	10.88	UPS/UPS 2nd Day Air	1Z1A1V710298810171	0.56	33132	40.67	25
43891	7/31/2019	8/1/2019	16.69	11.59	UPS/UPS Ground	1Z1A1V710398794358	1	06460	160.69	144
43892	7/31/2019	8/1/2019	12.12	8.42	UPS/UPS Ground	1Z1A1V710394824233	0.31	35401	33.12	21
43893	7/31/2019	8/1/2019	10.97	7.62	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW94445010	1.44	32244	82.07	79
43895	7/31/2019	8/1/2019	16.69	11.59	UPS/UPS Ground	1Z1A1V710394960185	0.63	97402	75.69	59
43896	7/31/2019	8/1/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.25	46219	35.4	35
43897	7/31/2019	8/1/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.31	07302	32.9	29
43898	7/31/2019	8/1/2019	18.55	12.88	UPS/UPS Ground	1Z1A1V710392164978	2.5	98107	98.55	80
43899	7/31/2019	8/1/2019	13.09	9.09	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW96277430	1.81	94501	231.09	218
43902	7/31/2019	8/1/2019	11.71	8.13	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW98484819	1.44	20874	46.71	35
43903	7/31/2019	8/1/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.44	85379	63.9	60
43906	7/31/2019	8/1/2019	24.96	17.33	UPS/UPS 2nd Day Air	1Z1A1V710291222695	5.69	61301	563.96	539
43904	7/31/2019	8/1/2019	64.21	17.3	UPS/UPS Ground	1Z1A1V710398342765	12	93036	202.21	138
43907	7/31/2019	8/1/2019	18.22	12.65	UPS/UPS Ground	1Z1A1V710399305740	5	66502	209.22	191
43908	7/31/2019	8/1/2019	16.7	11.6	UPS/UPS Ground	1Z1A1V710395144501	0.5	43207	115.7	99
43909	7/31/2019	8/1/2019	12.41	8.62	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW98542694	1.25	87144	92.41	80
43910	7/31/2019	8/1/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.56	60616	46.9	43
43911	7/31/2019	8/1/2019	16.69	11.59	UPS/UPS Ground	1Z1A1V710392488306	0.31	11377	37.69	21
43912	7/31/2019	8/1/2019	16.69	11.59	UPS/UPS Ground	1Z1A1V710393368283	1.94	65807	195.69	179
