zipCode	state	Region	city
16820	Pennsylvania	Northeast	Aaronsburg
36310	Alabama	Southeast	Abbeville
31001	Georgia	Southeast	Abbeville
70510	Louisiana	Southeast	Abbeville
38601	Mississippi	Southeast	Abbeville
29620	South Carolina	Southeast	Abbeville
4406	Maine	Northeast	Abbot
54405	Wisconsin	Midwest	Abbotsford
76621	Texas	Southwest	Abbott
17301	Pennsylvania	Northeast	Abbottstown
20606	Maryland	Northeast	Abell
58001	North Dakota	Midwest	Abercrombie
83210	Idaho	West	Aberdeen
21001	Maryland	Northeast	Aberdeen
39730	Mississippi	Southeast	Aberdeen
28315	North Carolina	Southeast	Aberdeen
45101	Ohio	Midwest	Aberdeen
57401	South Dakota	Midwest	Aberdeen
98520	Washington	West	Aberdeen
79311	Texas	Southwest	Abernathy
68001	Nebraska	Midwest	Abie
67410	Kansas	Midwest	Abilene
79601	Texas	Southwest	Abilene
79602	Texas	Southwest	Abilene
79603	Texas	Southwest	Abilene
79605	Texas	Southwest	Abilene
79606	Texas	Southwest	Abilene
79699	Texas	Southwest	Abilene
61410	Illinois	Midwest	Abingdon
21009	Maryland	Northeast	Abingdon
24210	Virginia	Southeast	Abingdon
24211	Virginia	Southeast	Abingdon
2351	Massachusetts	Northeast	Abington
19001	Pennsylvania	Northeast	Abington
87510	New Mexico	Southwest	Abiquiu
70420	Louisiana	Southeast	Abita Springs
54101	Wisconsin	Midwest	Abrams
58002	North Dakota	Midwest	Absaraka
59001	Montana	West	Absarokee
8201	New Jersey	Northeast	Absecon
8205	New Jersey	Northeast	Absecon
95220	California	West	Acampo
21520	Maryland	Northeast	Accident
20607	Maryland	Northeast	Accokeek
23301	Virginia	Southeast	Accomac
12404	New York	Northeast	Accord
25606	West Virginia	Southeast	Accoville
77326	Texas	Southwest	Ace
74720	Oklahoma	Southwest	Achille
79713	Texas	Southwest	Ackerly
39735	Mississippi	Southeast	Ackerman
50601	Iowa	Midwest	Ackley
50001	Iowa	Midwest	Ackworth
71316	Louisiana	Southeast	Acme
15610	Pennsylvania	Northeast	Acme
98220	Washington	West	Acme
15520	Pennsylvania	Northeast	Acosta
12405	New York	Northeast	Acra
93510	California	West	Acton
1720	Massachusetts	Northeast	Acton
4001	Maine	Northeast	Acton
59002	Montana	West	Acton
2743	Massachusetts	Northeast	Acushnet
30101	Georgia	Southeast	Acworth
30102	Georgia	Southeast	Acworth
3601	New Hampshire	Northeast	Acworth
49301	Michigan	Midwest	Ada
56510	Minnesota	Midwest	Ada
45810	Ohio	Midwest	Ada
74820	Oklahoma	Southwest	Ada
15410	Pennsylvania	Northeast	Adah
50002	Iowa	Midwest	Adair
61411	Illinois	Midwest	Adair
74330	Oklahoma	Southwest	Adair
30103	Georgia	Southeast	Adairsville
42202	Kentucky	Southeast	Adairville
99546	Alaska	West	Adak
5640	Vermont	Northeast	Adamant
41201	Kentucky	Southeast	Adams
1220	Massachusetts	Northeast	Adams
55909	Minnesota	Midwest	Adams
58210	North Dakota	Midwest	Adams
68301	Nebraska	Midwest	Adams
13605	New York	Northeast	Adams
73901	Oklahoma	Southwest	Adams
97810	Oregon	West	Adams
37010	Tennessee	Southeast	Adams
53910	Wisconsin	Midwest	Adams
13606	New York	Northeast	Adams Center
29426	South Carolina	Southeast	Adams Run
15611	Pennsylvania	Northeast	Adamsburg
21710	Maryland	Northeast	Adamstown
19501	Pennsylvania	Northeast	Adamstown
35005	Alabama	Southeast	Adamsville
43802	Ohio	Midwest	Adamsville
16110	Pennsylvania	Northeast	Adamsville
38310	Tennessee	Southeast	Adamsville
62214	Illinois	Midwest	Addieville
73520	Oklahoma	Southwest	Addington
70710	Louisiana	Southeast	Addis
35540	Alabama	Southeast	Addison
60101	Illinois	Midwest	Addison
4606	Maine	Northeast	Addison
49220	Michigan	Midwest	Addison
14801	New York	Northeast	Addison
15411	Pennsylvania	Northeast	Addison
75001	Texas	Southwest	Addison
99101	Washington	West	Addy
45001	Ohio	Midwest	Addyston
31620	Georgia	Southeast	Adel
50003	Iowa	Midwest	Adel
97620	Oregon	West	Adel
92301	California	West	Adelanto
53001	Wisconsin	Midwest	Adell
43101	Ohio	Midwest	Adelphi
43901	Ohio	Midwest	Adena
35006	Alabama	Southeast	Adger
96006	California	West	Adin
12808	New York	Northeast	Adirondack
78101	Texas	Southwest	Adkins
66830	Kansas	Midwest	Admire
42120	Kentucky	Southeast	Adolphus
72001	Arkansas	Southeast	Adona
31002	Georgia	Southeast	Adrian
49221	Michigan	Midwest	Adrian
56110	Minnesota	Midwest	Adrian
64720	Missouri	Midwest	Adrian
97901	Oregon	West	Adrian
16210	Pennsylvania	Northeast	Adrian
79001	Texas	Southwest	Adrian
63730	Missouri	Midwest	Advance
27006	North Carolina	Southeast	Advance
50830	Iowa	Midwest	Afton
49705	Michigan	Midwest	Afton
55001	Minnesota	Midwest	Afton
13730	New York	Northeast	Afton
74331	Oklahoma	Southwest	Afton
37616	Tennessee	Southeast	Afton
79220	Texas	Southwest	Afton
22920	Virginia	Southeast	Afton
53501	Wisconsin	Midwest	Afton
83110	Wyoming	West	Afton
57520	South Dakota	Midwest	Agar
80101	Colorado	West	Agate
1001	Massachusetts	Northeast	Agawam
52530	Iowa	Midwest	Agency
64401	Missouri	Midwest	Agency
40801	Kentucky	Southeast	Ages Brookside
97406	Oregon	West	Agness
91301	California	West	Agoura Hills
74824	Oklahoma	Southwest	Agra
78330	Texas	Southwest	Agua Dulce
92536	California	West	Aguanga
85320	Arizona	Southwest	Aguila
81020	Colorado	West	Aguilar
49901	Michigan	Midwest	Ahmeek
27910	North Carolina	Southeast	Ahoskie
83520	Idaho	West	Ahsahka
93601	California	West	Ahwahnee
96701	Hawaii	West	Aiea
29801	South Carolina	Southeast	Aiken
29803	South Carolina	Southeast	Aiken
29805	South Carolina	Southeast	Aiken
30410	Georgia	Southeast	Ailey
71401	Louisiana	Southeast	Aimwell
52201	Iowa	Midwest	Ainsworth
69210	Nebraska	Midwest	Ainsworth
17302	Pennsylvania	Northeast	Airville
99001	Washington	West	Airway Heights
56431	Minnesota	Midwest	Aitkin
85321	Arizona	Southwest	Ajo
57420	South Dakota	Midwest	Akaska
56433	Minnesota	Midwest	Akeley
99551	Alaska	West	Akiachak
99552	Alaska	West	Akiak
35441	Alabama	Southeast	Akron
80720	Colorado	West	Akron
51001	Iowa	Midwest	Akron
46910	Indiana	Midwest	Akron
48701	Michigan	Midwest	Akron
14001	New York	Northeast	Akron
44301	Ohio	Midwest	Akron
44302	Ohio	Midwest	Akron
44303	Ohio	Midwest	Akron
44304	Ohio	Midwest	Akron
44305	Ohio	Midwest	Akron
44306	Ohio	Midwest	Akron
44307	Ohio	Midwest	Akron
44308	Ohio	Midwest	Akron
44310	Ohio	Midwest	Akron
44311	Ohio	Midwest	Akron
44312	Ohio	Midwest	Akron
44313	Ohio	Midwest	Akron
44314	Ohio	Midwest	Akron
44319	Ohio	Midwest	Akron
44320	Ohio	Midwest	Akron
44321	Ohio	Midwest	Akron
44333	Ohio	Midwest	Akron
17501	Pennsylvania	Northeast	Akron
99553	Alaska	West	Akutan
35007	Alabama	Southeast	Alabaster
35114	Alabama	Southeast	Alabaster
32615	Florida	Southeast	Alachua
32616	Florida	Southeast	Alachua
82710	Wyoming	West	Aladdin
99554	Alaska	West	Alakanuk
27201	North Carolina	Southeast	Alamance
94501	California	West	Alameda
94502	California	West	Alameda
94507	California	West	Alamo
30411	Georgia	Southeast	Alamo
47916	Indiana	Midwest	Alamo
58830	North Dakota	Midwest	Alamo
89001	Nevada	West	Alamo
38001	Tennessee	Southeast	Alamo
78516	Texas	Southwest	Alamo
88310	New Mexico	Southwest	Alamogordo
88311	New Mexico	Southwest	Alamogordo
81101	Colorado	West	Alamosa
49706	Michigan	Midwest	Alanson
31622	Georgia	Southeast	Alapaha
49611	Michigan	Midwest	Alba
64830	Missouri	Midwest	Alba
75410	Texas	Southwest	Alba
94706	California	West	Albany
31721	Georgia	Southeast	Albany
31701	Georgia	Southeast	Albany
31705	Georgia	Southeast	Albany
31707	Georgia	Southeast	Albany
61230	Illinois	Midwest	Albany
47320	Indiana	Midwest	Albany
42602	Kentucky	Southeast	Albany
70711	Louisiana	Southeast	Albany
56307	Minnesota	Midwest	Albany
64402	Missouri	Midwest	Albany
12202	New York	Northeast	Albany
12203	New York	Northeast	Albany
12204	New York	Northeast	Albany
12205	New York	Northeast	Albany
12206	New York	Northeast	Albany
12207	New York	Northeast	Albany
12208	New York	Northeast	Albany
12209	New York	Northeast	Albany
12210	New York	Northeast	Albany
12211	New York	Northeast	Albany
12222	New York	Northeast	Albany
45710	Ohio	Midwest	Albany
97321	Oregon	West	Albany
97322	Oregon	West	Albany
76430	Texas	Southwest	Albany
5820	Vermont	Northeast	Albany
53502	Wisconsin	Midwest	Albany
28001	North Carolina	Southeast	Albemarle
62215	Illinois	Midwest	Albers
67511	Kansas	Midwest	Albert
50510	Iowa	Midwest	Albert City
56007	Minnesota	Midwest	Albert Lea
36720	Alabama	Southeast	Alberta
56207	Minnesota	Midwest	Alberta
23821	Virginia	Southeast	Alberta
59820	Montana	West	Alberton
28508	North Carolina	Southeast	Albertson
11507	New York	Northeast	Albertson
35950	Alabama	Southeast	Albertville
35951	Alabama	Southeast	Albertville
55301	Minnesota	Midwest	Albertville
52531	Iowa	Midwest	Albia
82050	Wyoming	West	Albin
95410	California	West	Albion
50005	Iowa	Midwest	Albion
83311	Idaho	West	Albion
62806	Illinois	Midwest	Albion
46701	Indiana	Midwest	Albion
4910	Maine	Northeast	Albion
49224	Michigan	Midwest	Albion
68620	Nebraska	Midwest	Albion
14411	New York	Northeast	Albion
74521	Oklahoma	Southwest	Albion
16401	Pennsylvania	Northeast	Albion
2802	Rhode Island	Northeast	Albion
99102	Washington	West	Albion
55702	Minnesota	Midwest	Alborn
26519	West Virginia	Southeast	Albright
18210	Pennsylvania	Northeast	Albrightsville
87102	New Mexico	Southwest	Albuquerque
87104	New Mexico	Southwest	Albuquerque
87105	New Mexico	Southwest	Albuquerque
87106	New Mexico	Southwest	Albuquerque
87107	New Mexico	Southwest	Albuquerque
87108	New Mexico	Southwest	Albuquerque
87109	New Mexico	Southwest	Albuquerque
87110	New Mexico	Southwest	Albuquerque
87111	New Mexico	Southwest	Albuquerque
87112	New Mexico	Southwest	Albuquerque
87113	New Mexico	Southwest	Albuquerque
87114	New Mexico	Southwest	Albuquerque
87116	New Mexico	Southwest	Albuquerque
87120	New Mexico	Southwest	Albuquerque
87121	New Mexico	Southwest	Albuquerque
87122	New Mexico	Southwest	Albuquerque
87123	New Mexico	Southwest	Albuquerque
5440	Vermont	Northeast	Alburgh
52202	Iowa	Midwest	Alburnett
18011	Pennsylvania	Northeast	Alburtis
87511	New Mexico	Southwest	Alcalde
57001	South Dakota	Midwest	Alcester
37701	Tennessee	Southeast	Alcoa
29001	South Carolina	Southeast	Alcolu
82620	Wyoming	West	Alcova
12007	New York	Northeast	Alcove
68810	Nebraska	Midwest	Alda
50006	Iowa	Midwest	Alden
49612	Michigan	Midwest	Alden
56009	Minnesota	Midwest	Alden
14004	New York	Northeast	Alden
59710	Montana	West	Alder
13301	New York	Northeast	Alder Creek
95511	California	West	Alderpoint
74522	Oklahoma	Southwest	Alderson
24910	West Virginia	Southeast	Alderson
20105	Virginia	Southeast	Aldie
56434	Minnesota	Midwest	Aldrich
65601	Missouri	Midwest	Aldrich
61231	Illinois	Midwest	Aledo
76008	Texas	Southwest	Aledo
99555	Alaska	West	Aleknagik
15310	Pennsylvania	Northeast	Aleppo
73002	Oklahoma	Southwest	Alex
72002	Arkansas	Southeast	Alexander
50420	Iowa	Midwest	Alexander
62601	Illinois	Midwest	Alexander
28701	North Carolina	Southeast	Alexander
58831	North Dakota	Midwest	Alexander
14005	New York	Northeast	Alexander
35010	Alabama	Southeast	Alexander City
36250	Alabama	Southeast	Alexandria
46001	Indiana	Midwest	Alexandria
41001	Kentucky	Southeast	Alexandria
71301	Louisiana	Southeast	Alexandria
